date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-04-01,151901.4472,719.0,3604110.0,0.0004,65525.0,0.0,30939.690282,
2015-04-02,72930.32637,1369.0,2179320.0,0.000242,28549.0,0.0,22879.028267,
2015-04-03,34347.926751,5945.0,2778750.0,0.000309,20678.0,0.0,66917.666269,
2015-04-04,30479.05988,4555.0,2792120.0,0.00031,23550.0,0.0,51790.913658,
2015-04-05,43122.72768,6673.0,2443720.0,0.000272,26800.0,0.0,73372.754782,
2015-04-06,32179.22012,3975.0,2088380.0,0.000232,22512.0,0.0,45762.435994,
2015-04-07,31120.456896,7741.0,2596140.0,0.000288,14437.0,0.0,82321.440551,
2015-04-08,24228.54245,9372.0,2209250.0,0.000245,6933.0,0.0,100584.23669,
2015-04-09,8772.513636,1961.0,2048560.0,0.000228,10014.0,0.0,18395.571264,
2015-04-10,17480.821568,23680.0,2017780.0,0.000224,16846.0,0.0,60913.545202,
2015-04-11,23658.743325,11845.0,1571870.0,0.000175,22846.0,0.0,42793.94626,
2015-04-12,7015.138417,23852.0,1469950.0,0.000163,5569.0,0.0,57546.537305,
2015-04-13,11968.357592,26883.0,1316600.0,0.000146,11803.0,0.0,149155.568054,
2015-04-14,14184.678533,29089.0,1254160.0,0.000139,14654.0,0.0,79295.608966,
2015-04-15,11045.688108,15755.0,1399610.0,0.000156,8196.0,0.0,49411.202844,
2015-04-16,7704.1076,9597.0,1391420.0,0.000155,5317.0,0.0,65798.258322,
2015-04-17,7340.043648,17148.0,1507870.0,0.000168,4556.0,0.0,51377.901307,
2015-04-18,12027.343841,5960.0,1503010.0,0.000167,9117.0,0.0,31208.997764,
2015-04-19,9201.618969,12612.0,1269820.0,0.000141,7193.0,0.0,43449.515713,
2015-04-20,11351.737635,16081.0,1324160.0,0.000147,6681.0,0.0,51963.301024,
2015-04-21,6391.417277,13488.0,1194180.0,0.000133,3912.0,0.0,44430.386702,
2015-04-22,7884.182449,4586.0,1233120.0,0.000137,2353.0,0.0,24438.965281,
